
150 ISOTOPES IN NETWORK:

Index  Isotope   A   Z   N  Abundance Y  MassFrac X  MassXS(MeV)
40 be9-->n+he4+he4 reacClass=3 #react=1 #prod=3 isEC=0 isReverse=0 Q=-1.5740 prefac=1.0000 RGsymb:a+b+c<->d
41 p+be9-->n+p+he4+he4 reacClass=7 #react=2 #prod=4 isEC=0 isReverse=0 Q=-1.5730 prefac=1.0000 RGsymb:a+b<->c+d+e+f
42 p+be9-->n+p+he4+he4 reacClass=7 #react=2 #prod=4 isEC=0 isReverse=0 Q=-1.5730 prefac=1.0000 RGsymb:a+b<->c+d+e+f
43 n+he4+he4-->d+li7 reacClass=8 #react=3 #prod=2 isEC=0 isReverse=0 Q=-15.1210 prefac=1.0000 RGsymb:a+b<->c+d+e
44 d+li7-->n+he4+he4 reacClass=6 #react=2 #prod=3 isEC=0 isReverse=0 Q=15.1210 prefac=1.0000 RGsymb:a+b<->c+d+e
45 p+he4+he4-->d+be7 reacClass=8 #react=3 #prod=2 isEC=0 isReverse=0 Q=-16.7660 prefac=1.0000 RGsymb:a+b<->c+d+e
46 d+be7-->p+he4+he4 reacClass=6 #react=2 #prod=3 isEC=0 isReverse=0 Q=16.7660 prefac=1.0000 RGsymb:a+b<->c+d+e
47 p+he4+he4-->n+b8 reacClass=8 #react=3 #prod=2 isEC=0 isReverse=0 Q=-18.8525 prefac=1.0000 RGsymb:a+b<->c+d+e
48 n+b8-->p+he4+he4 reacClass=6 #react=2 #prod=3 isEC=0 isReverse=0 Q=18.8525 prefac=1.0000 RGsymb:a+b<->c+d+e
49 d+he4+he4-->p+be9 reacClass=8 #react=3 #prod=2 isEC=0 isReverse=0 Q=-0.6510 prefac=1.0000 RGsymb:a+b<->c+d+e
50 d+he4+he4-->p+be9 reacClass=8 #react=3 #prod=2 isEC=0 isReverse=0 Q=-0.6510 prefac=1.0000 RGsymb:a+b<->c+d+e
51 p+be9-->d+he4+he4 reacClass=6 #react=2 #prod=3 isEC=0 isReverse=0 Q=0.6510 prefac=1.0000 RGsymb:a+b<->c+d+e
52 p+be9-->d+he4+he4 reacClass=6 #react=2 #prod=3 isEC=0 isReverse=0 Q=0.6510 prefac=1.0000 RGsymb:a+b<->c+d+e
53 he4+he4+he4-->p+b11 reacClass=8 #react=3 #prod=2 isEC=0 isReverse=0 Q=-8.6820 prefac=0.1667 RGsymb:a+b<->c+d+e
54 he4+he4+he4-->p+b11 reacClass=8 #react=3 #prod=2 isEC=0 isReverse=0 Q=-8.6820 prefac=0.1667 RGsymb:a+b<->c+d+e
